Created on 06/20/2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High/2018,Low,Close,Volume From,Volume To
11/15/2017,LTCUSD,63.22,64.8,62.49,63.26,30859.85,1965215.99
11/14/2017,LTCUSD,61.03,65,60.94,63.22,28032.75,1754148.15
11/13/2017,LTCUSD,58.1,62.6,57.71,61.03,35834.54,2161561.5
11/12/2017,LTCUSD,61.88,62.23,56.61,58.1,44012.93,2589769.98
11/11/2017,LTCUSD,58.8,63.99,56,61.88,47608.17,2894541.83
11/10/2017,LTCUSD,64.24,65.9,55.78,58.8,53729.12,3297154.46
11/09/2017,LTCUSD,62.16,66.95,61.81,64.24,47142.33,3016840.22
11/08/2017,LTCUSD,60.6,63.93,59.73,62.16,67766.73,4153519.9
11/07/2017,LTCUSD,54.61,63.5,54.3,60.6,93135.05,5341354.56
11/06/2017,LTCUSD,54.42,55.53,53.06,54.61,32192.15,1759445.46
11/05/2017,LTCUSD,54.89,55.2,53.06,54.42,8234.6,447736.8
11/04/2017,LTCUSD,55.98,56.21,54,54.89,14311.25,790525.33
11/03/2017,LTCUSD,54.19,57.29,53.51,55.98,28538.82,1563557.41
11/02/2017,LTCUSD,53.46,54.88,50.5,54.19,39074.39,2040360.33
11/01/2017,LTCUSD,55.47,55.7,53.01,53.46,22844.25,1252238.02
10/31/2017,LTCUSD,56.29,56.6,55,55.47,12712.21,711891.35
10/30/2017,LTCUSD,56.75,58.01,55.7,56.29,15741.7,895788.59
10/29/2017,LTCUSD,54.24,57.5,53.02,56.75,37811.4,2087131.28
10/28/2017,LTCUSD,55.17,55.87,54,54.24,6603.4,361381.24
10/27/2017,LTCUSD,55.56,56.17,55,55.17,8895.9,491861.81
10/26/2017,LTCUSD,56.39,57.5,55.01,55.56,10819.08,608527.87
10/25/2017,LTCUSD,55.99,57.23,54.1,56.39,17109.38,947129.16
10/24/2017,LTCUSD,54.66,59.9,53.3,55.99,32020.03,1835984.04
10/23/2017,LTCUSD,56.69,57.04,53,54.66,25330.8,1380962.54
10/22/2017,LTCUSD,58.11,58.78,56.03,56.69,8825.01,504878.95
10/21/2017,LTCUSD,60.04,60.22,56.5,58.11,19200.27,1119788.58
10/20/2017,LTCUSD,59.8,62.8,58.5,60.04,23443.85,1419886.93
10/19/2017,LTCUSD,60.89,61.5,58.37,59.8,17180.14,1029740.03
10/18/2017,LTCUSD,59.37,62.49,53,60.89,41657.88,2395888.59
10/17/2017,LTCUSD,64.6,64.87,58,59.37,26030.76,1582092.59
10/16/2017,LTCUSD,65.31,66,62.5,64.6,24627.57,1584967.24
10/15/2017,LTCUSD,63.8,69.62,62.11,65.31,53501.92,3499396.35
10/14/2017,LTCUSD,58.8,66.4,58.04,63.8,58563.03,3660343.36
10/13/2017,LTCUSD,59.39,60.83,55.2,58.8,66490.74,3871849.75
10/12/2017,LTCUSD,50.75,61.23,50.54,59.39,81427.73,4529159.28
10/11/2017,LTCUSD,50.62,51.23,49.5,50.75,16685.22,841962.48
10/10/2017,LTCUSD,50.08,51.64,48.2,50.62,24713.7,1242562.47
10/09/2017,LTCUSD,53.14,53.33,48.11,50.08,24795.6,1258161.99
10/08/2017,LTCUSD,52.52,54.48,52,53.14,20670.56,1104461.96
10/07/2017,LTCUSD,52.08,52.86,51.38,52.52,8991.6,467342.8
10/06/2017,LTCUSD,51.66,52.97,51.05,52.08,11547.36,602244.27
10/05/2017,LTCUSD,51.01,52,50,51.66,18266.8,934174.06
10/04/2017,LTCUSD,52.14,53.41,50.5,51.01,19687.27,1014240.81
10/03/2017,LTCUSD,53.18,53.63,51.21,52.14,27887.55,1450391.61
10/02/2017,LTCUSD,54.68,55.22,53.01,53.18,17419.02,943892.89
10/01/2017,LTCUSD,55.65,55.69,53.35,54.68,20075.41,1093376.41
09/30/2017,LTCUSD,52.92,56.12,52.81,55.65,18782.26,1034913.78
09/29/2017,LTCUSD,55.12,55.15,50.16,52.92,47583.66,2515010.32
09/28/2017,LTCUSD,57,57.97,53.75,55.12,62497.7,3475561.31
09/27/2017,LTCUSD,52,57.48,52,57,51530.64,2833649.69
09/26/2017,LTCUSD,52.37,54.3,51.3,52,38302.14,2027728.28
09/25/2017,LTCUSD,47.69,53.42,47.31,52.37,47081.43,2410163.9
09/24/2017,LTCUSD,49.5,49.65,47.23,47.69,16043.46,775721.36
09/23/2017,LTCUSD,47.8,51.01,46.5,49.5,30236.68,1486901.74
09/22/2017,LTCUSD,46.71,48.99,45.02,47.8,40142.22,1879739.97
09/21/2017,LTCUSD,51.25,52.45,45.5,46.71,75370.49,3704605.07
09/20/2017,LTCUSD,53.09,54.22,50.86,51.25,28644.46,1510665.43
09/19/2017,LTCUSD,56.13,56.8,51.28,53.09,89364.21,4832394.14
09/18/2017,LTCUSD,51.21,58.48,51.15,56.13,103374.19,5654919.86
09/17/2017,LTCUSD,52.22,53.19,48.04,51.21,77470.99,3953536.83
09/16/2017,LTCUSD,52.2,58.67,50.05,52.22,104284.45,5535476.02
09/15/2017,LTCUSD,45.49,56,35.11,52.2,200071.96,9598125.95
09/14/2017,LTCUSD,61.88,62.88,45.3,45.49,150265.54,7797776.46
09/13/2017,LTCUSD,66.43,66.44,56.8,61.88,111603.34,6842832.97
09/12/2017,LTCUSD,68.46,72.6,65.1,66.43,44620.43,3082928.95
09/11/2017,LTCUSD,67.84,71.99,65.2,68.46,39455.19,2709343.95
09/10/2017,LTCUSD,71.99,72,65,67.84,48990.63,3318387.11
09/09/2017,LTCUSD,74.1,75,70.11,71.99,25286.99,1831201.11
09/08/2017,LTCUSD,81.07,82.5,68,74.1,73212.3,5542576.24
09/07/2017,LTCUSD,82.41,83.3,78.1,81.07,50596.4,4100234.42
09/06/2017,LTCUSD,74.6,83.33,74.6,82.41,64613.05,5146115.43
09/05/2017,LTCUSD,70.1,75.89,65.1,74.6,74325.71,5253395.55
09/04/2017,LTCUSD,80.03,80.03,62.55,70.1,124162.42,8617730.44
09/03/2017,LTCUSD,79.48,84.79,75.25,80.03,67117.64,5384939.46
09/02/2017,LTCUSD,87.45,94.03,75.25,79.48,111170.55,9092253.13
09/01/2017,LTCUSD,73.37,95,71.11,87.45,138093.78,11391980.79
08/31/2017,LTCUSD,65.8,74.81,65,73.37,95296.27,6651385.58
08/30/2017,LTCUSD,62.78,66.2,60.9,65.8,31622.6,1996058.05
08/29/2017,LTCUSD,62.16,63.89,61.1,62.78,62231.48,3850936.51
08/28/2017,LTCUSD,61,64.97,58.5,62.16,66383.15,4106020.49
08/27/2017,LTCUSD,51.68,64.6,51.49,61,102693.3,6103600.69
08/26/2017,LTCUSD,51.7,53,50.2,51.68,19278.17,989002.84
08/25/2017,LTCUSD,50.56,53,49,51.7,29882.96,1529913.3
08/24/2017,LTCUSD,54,54.99,50.56,50.56,73634.73,3855542.08
08/23/2017,LTCUSD,46.51,59,46.31,54,75484.46,3916328.96
08/22/2017,LTCUSD,48.5,48.97,45.6,46.51,28493.47,1332522.34
08/21/2017,LTCUSD,46.15,50,44,48.5,42089.09,1989501.76
08/20/2017,LTCUSD,45.34,47.7,44.2,46.15,14734.44,679648.2
08/19/2017,LTCUSD,46.46,48,43.7,45.34,16045.43,727822.08
08/18/2017,LTCUSD,43.94,47.35,42.8,46.46,38850.63,1768548.35
08/17/2017,LTCUSD,44.05,45.1,43.2,43.94,17639.16,779688.53
08/16/2017,LTCUSD,43,46.23,42,44.05,22591.07,982811.81
08/15/2017,LTCUSD,45.99,45.99,41.62,43,27054.12,1177917.12
08/14/2017,LTCUSD,45.3,46.8,45.15,45.99,13580.18,619426.5
08/13/2017,LTCUSD,46.12,47.27,44.44,45.3,30495.87,1401619.16
08/12/2017,LTCUSD,47.15,48.44,46,46.12,23397.01,1103256.23
08/11/2017,LTCUSD,47.46,48.1,46.75,47.15,20314.66,961406.58
08/10/2017,LTCUSD,48.2,48.9,47.45,47.46,16055.14,772918.14
08/09/2017,LTCUSD,49.1,52,46.62,48.2,32831.94,1603403.63
08/08/2017,LTCUSD,45.84,49.89,45.65,49.1,36755.4,1727741.63
08/07/2017,LTCUSD,45.3,46.8,45.04,45.84,24667.64,1129778.4
08/06/2017,LTCUSD,46.22,46.87,45.1,45.3,21942.77,1007613.05
08/05/2017,LTCUSD,43.49,47,43.49,46.22,45054.38,2062044.67
08/04/2017,LTCUSD,42.77,43.87,42.3,43.49,19151.08,824551.36
08/03/2017,LTCUSD,41.86,43.12,41.67,42.77,15188.26,643908.74
08/02/2017,LTCUSD,43,43.32,41.12,41.86,40745.79,1725753.52
08/01/2017,LTCUSD,42.35,44.9,41.3,43,52390.19,2247388.06
07/31/2017,LTCUSD,40.71,43.54,38.25,42.35,61589.32,2549883.24
07/30/2017,LTCUSD,41.2,42,40.02,40.71,17785.69,726509.71
07/29/2017,LTCUSD,40.55,41.5,38.5,41.2,23703.54,946105.96
07/28/2017,LTCUSD,41.62,45,40.14,40.55,43335.66,1797487.72
07/27/2017,LTCUSD,41.85,42.38,40.85,41.62,40380.61,1681670.71
07/26/2017,LTCUSD,42.09,42.87,40.18,41.85,69566.44,2892048.9
07/25/2017,LTCUSD,44.69,45.19,39.58,42.09,53852.87,2262459.32
